Name, Min(ns), Max(ns), Avg(ns), p75(ns), p95(ns), p99(ns), p995(ns)
Add 2x2 (WASM SIMD F32),439,836,502,522,662,836
Add 2x2 (WASM SIMD I32),439,634,488,508,595,634
Add 4x4 (Func),285,524,308,314,478,524
Add 4x4 (Loop),117,338,148,154,292,319
Add 4x4 (Loop Prealloc),59,324,77,80,182,219
Add 4x4 (unrolled),46,205,64,69,140,149
Add 4x4 (unrolled dynamic),46,169,63,66,128,146
Add 4x4 (flat),29,99,33,32,62,72
Add 4x4 (flat col major),29,102,33,32,61,75
Add 4x4 (flat simple),17,76,23,23,50,59
Add 4x4 (flat unrolled),28,150,39,42,99,118
Add 4x4 (F64),338,573,403,424,567,573
Add 4x4 (F32),326,686,380,400,505,686
Add 4x4 (I32),314,745,377,399,612,745
Add 4x4 (F64 flat),330,543,379,399,514,543
Add 4x4 (F32 flat),315,664,369,393,628,664
Add 4x4 (I32 flat),311,451,356,381,449,451
Add 4x4 (flat func),95,181,106,111,165,167
Add 4x4 (WASM F64),488,734,538,552,721,734
Add 4x4 (WASM SIMD F64),478,1106,553,557,1103,1106
Add 4x4 (WASM SIMD F32),460,864,514,515,773,864
Add 4x4 (WASM SIMD I32),458,878,510,516,722,878
Add 8x8 (Func),668,915,709,717,915,915
Add 8x8 (Loop),330,682,373,379,651,682
Add 8x8 (Loop Prealloc),187,459,226,238,403,427
Add 8x8 (unrolled),117,521,155,160,323,393
Add 8x8 (unrolled dynamic),121,475,164,177,303,395
Add 8x8 (flat),88,230,105,108,222,227
Add 8x8 (flat col major),93,208,109,112,201,203
Add 8x8 (flat simple),61,203,81,84,176,192
Add 8x8 (flat unrolled),73,283,99,103,202,251
Add 8x8 (F64),429,727,502,523,712,727
Add 8x8 (F32),436,1142,524,558,1052,1142
Add 8x8 (I32),383,619,442,458,618,619
Add 8x8 (F64 flat),390,2169,492,481,1889,2169
Add 8x8 (F32 flat),393,537,442,462,536,537
Add 8x8 (I32 flat),380,862,455,458,800,862
Add 8x8 (flat func),228,399,253,256,348,374
Add 8x8 (WASM F64),557,2056,808,673,2056,2056
Add 8x8 (WASM SIMD F64),540,2168,644,620,2168,2168
Add 8x8 (WASM SIMD F32),505,838,552,563,791,838
Add 8x8 (WASM SIMD I32),504,622,543,557,617,622
Add 16x16 (Func),1722,2207,1813,1849,2207,2207
Add 16x16 (Loop),1044,1385,1088,1093,1385,1385
Add 16x16 (Loop Prealloc),637,927,700,706,927,927
Add 16x16 (unrolled),600,517000,884,700,9800,10200
Add 16x16 (unrolled dynamic),500,524700,798,600,9700,10000
Add 16x16 (flat),381,624,431,439,623,624
Add 16x16 (flat col major),401,691,448,457,675,691
Add 16x16 (flat simple),278,614,336,360,600,614
Add 16x16 (flat unrolled),340,4210,426,413,618,4210
Add 16x16 (F64),809,1421,924,944,1421,1421
Add 16x16 (F32),842,2053,1123,1534,2053,2053
Add 16x16 (I32),632,2298,935,1432,2298,2298
Add 16x16 (F64 flat),712,1774,1057,1279,1774,1774
Add 16x16 (F32 flat),690,2093,962,1456,2093,2093
Add 16x16 (I32 flat),636,2031,917,1387,2031,2031
Add 16x16 (flat func),811,1997,961,967,1997,1997
Add 16x16 (WASM F64),935,2312,1314,1502,2312,2312
Add 16x16 (WASM SIMD F64),833,2179,1243,1418,2179,2179
Add 16x16 (WASM SIMD F32),672,1865,999,1525,1865,1865
Add 16x16 (WASM SIMD I32),659,2083,977,1512,2083,2083
Add 32x32 (Func),5106,5488,5235,5304,5488,5488
Add 32x32 (Loop),4610,5251,4832,4909,5251,5251
Add 32x32 (Loop Prealloc),2511,2915,2640,2700,2915,2915
Add 32x32 (unrolled),71800,508100,82627,83200,137900,169900
Add 32x32 (unrolled dynamic),71200,513900,82411,82600,151600,189600
Add 32x32 (flat),1815,2876,2067,2131,2876,2876
Add 32x32 (flat col major),1857,2217,1938,1948,2217,2217
Add 32x32 (flat simple),1302,1630,1383,1415,1630,1630
Add 32x32 (flat unrolled),1200,2060400,9326,1900,72900,80900
Add 32x32 (F64),2522,3804,2677,2648,3804,3804
Add 32x32 (F32),2520,2750,2583,2602,2750,2750
Add 32x32 (I32),1683,2400,1762,1763,2400,2400
Add 32x32 (F64 flat),2345,3121,2776,2848,3121,3121
Add 32x32 (F32 flat),2268,2664,2373,2392,2664,2664
Add 32x32 (I32 flat),1720,3156,2248,2349,3156,3156
Add 32x32 (flat func),3493,6894,4299,4892,6894,6894
Add 32x32 (WASM F64),3345,4156,3597,3758,4156,4156
Add 32x32 (WASM SIMD F64),2971,4654,3342,3577,4654,4654
Add 32x32 (WASM SIMD F32),1856,3416,2100,2113,3416,3416
Add 32x32 (WASM SIMD I32),1594,3239,2142,2311,3239,3239
Add 64x64 (Func),13600,655400,19677,18500,49900,88700
Add 64x64 (Loop),13600,5627100,20384,19300,43500,82000
Add 64x64 (Loop Prealloc),8800,535400,10498,9500,26200,33500
Add 64x64 (unrolled),324300,800600,350182,348100,573800,603900
Add 64x64 (unrolled dynamic),322900,757300,350506,347600,576000,596600
Add 64x64 (flat),4900,425800,8438,7900,21500,28000
Add 64x64 (flat col major),6200,1349100,10477,10100,26500,35900
Add 64x64 (flat simple),6148,7515,6795,7100,7515,7515
Add 64x64 (flat unrolled),256200,857800,285715,278900,514900,537100
Add 64x64 (F64),5600,3678200,13047,11800,29700,38100
Add 64x64 (F32),7100,710200,10158,9500,20500,30900
Add 64x64 (I32),6434,7173,6629,6626,7173,7173
Add 64x64 (F64 flat),5200,5173000,11647,10800,27200,33700
Add 64x64 (F32 flat),7496,8210,7750,7753,8210,8210
Add 64x64 (I32 flat),5100,4456500,7869,7200,25400,33600
Add 64x64 (flat func),10200,647000,15569,14700,41200,60800
Add 64x64 (WASM F64),7200,3925700,11966,10600,26900,33700
Add 64x64 (WASM SIMD F64),5700,1969500,10287,9100,25100,31300
Add 64x64 (WASM SIMD F32),6164,7834,6519,6629,7834,7834
Add 64x64 (WASM SIMD I32),5625,6627,6223,6286,6627,6627
Add 128x128 (Func),46900,525500,62557,63000,202200,218100
Add 128x128 (Loop),56500,500500,74759,76600,222400,240600
Add 128x128 (Loop Prealloc),37200,370000,41633,39800,110700,181500
Add 128x128 (unrolled),1314200,2296500,1389944,1379300,1972200,2291500
Add 128x128 (unrolled dynamic),768000,3266200,1398325,1395700,1876500,2536000
Add 128x128 (flat),67800,4208600,102020,86500,455300,517400
Add 128x128 (flat col major),119500,599000,157970,144200,335400,381800
Add 128x128 (flat simple),65300,846500,99922,94000,284500,333800
Add 128x128 (flat unrolled),1199500,2583000,1362974,1426900,2431300,2576300
Add 128x128 (F64),28200,3410900,48770,47400,126700,198700
Add 128x128 (F32),28800,5694100,45751,44400,88400,104300
Add 128x128 (I32),21200,4235300,31359,30100,63200,78800
Add 128x128 (F64 flat),22700,4514400,44926,44000,130700,224800
Add 128x128 (F32 flat),24600,1322300,33429,31000,65300,79100
Add 128x128 (I32 flat),21100,4091800,30189,27600,71500,109900
Add 128x128 (flat func),319900,2138000,414007,362200,1638300,1784500
Add 128x128 (WASM F64),30200,528200,44934,44800,99300,128000
Add 128x128 (WASM SIMD F64),27100,2819300,39592,39100,93900,156200
Add 128x128 (WASM SIMD F32),18000,490000,23107,22300,43900,61900
Add 128x128 (WASM SIMD I32),17600,2464100,23707,22400,46100,60000
Add 256x256 (Func),178600,1422500,217532,205300,479000,548900
Add 256x256 (Loop),287700,1020100,335431,336300,620700,720200
Add 256x256 (Loop Prealloc),153100,700900,170882,164000,369500,395200
Add 256x256 (unrolled),5724100,9463000,6093982,6208500,9463000,9463000
Add 256x256 (unrolled dynamic),1330400,2126100,1428246,1445100,1826400,1885000
Add 256x256 (flat),267300,4292800,458862,479800,1072800,1395200
Add 256x256 (flat col major),660200,1586600,750512,757500,1076900,1180900
Add 256x256 (flat simple),345900,866400,410338,407000,614000,680300
Add 256x256 (flat unrolled),5110100,7532700,5460281,5578800,6466200,7532700
Add 256x256 (F64),110300,668300,146164,146900,425700,450900
Add 256x256 (F32),108100,842500,138048,149200,313200,397200
Add 256x256 (I32),85700,699900,101899,100200,250400,371100
Add 256x256 (F64 flat),108300,5370800,141541,133500,399800,461700
Add 256x256 (F32 flat),99900,575000,118002,114900,313300,378500
Add 256x256 (I32 flat),84700,544700,102009,99600,261000,366600
Add 256x256 (flat func),1285600,8091300,2096729,1950400,7284300,7715000
Add 256x256 (WASM F64),143200,2655100,217033,231200,569400,709100
Add 256x256 (WASM SIMD F64),123400,1217500,166410,167200,445200,484200
Add 256x256 (WASM SIMD F32),62300,802700,96971,94000,308700,361900
Add 256x256 (WASM SIMD I32),79500,590500,98608,97100,253100,368200
